sweep_rank,sweep_tier,title,year,venue,authors,doi,url,cited_by_count,source_queries,concepts,category,relevance_score,abstract_summary,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_reason,openalex_id
11,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,DexWild: Dexterous Human Interactions for In-the-Wild Robot Policies,2025,,Tony Tao; Mohan Kumar Srirama; Jason Liu; Kenneth Shaw; Deepak Pathak,https://doi.org/10.15607/rss.2025.xxi.075,https://doi.org/10.15607/rss.2025.xxi.075,1,robot policy embodiment agnostic representation; robot retargeting manipulation policy,Robot; Teleoperation; Computer science; Artificial intelligence; Humancomputer interaction; Humanrobot interaction; Training (meteorology); Path (computing); Robotics; Telerobotics,retargeting and teleoperation,81.543,"Fig. 1: DexWild enables dexterous policies to generalize to new objects, scenes, and embodiments.This is achieved by leveraging large-scale, real-world human embodiment data collected in many scenes and co-trained with a smaller robot embodiment dataset for grounding.Abstract-Large-scale, diverse robot datasets have emerged as a promising","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4414050936
12,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,RoVi-Aug: Robot and Viewpoint Augmentation for Cross-Embodiment Robot Learning,2024,arXiv (Cornell University),Lawrence Yunliang Chen; Chenfeng Xu; Karthik Dharmarajan; Muhammad Zubair Irshad; Richard K. Cheng; Kurt Keutzer; Masayoshi Tomizuka; Quan Vuong; et al.,https://doi.org/10.48550/arxiv.2409.03403,http://arxiv.org/abs/2409.03403,1,cross embodiment robot learning; robot policy embodiment agnostic representation; robot retargeting manipulation policy,Robot; Artificial intelligence; Computer science; Humancomputer interaction; Robot learning; Mobile robot,cross-embodiment and morphology transfer,81.093,"Scaling up robot learning requires large and diverse datasets, and how to efficiently reuse collected data and transfer policies to new embodiments remains an open question. Emerging research such as the Open-X Embodiment (OXE) project has shown promise in leveraging skills by combining datasets including","Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4403585673
13,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,Any-point Trajectory Modeling for Policy Learning,2024,,Chuan Wen; Xingyu Lin; John So; Kai Chen; Qi Dou; Yang Gao; Pieter Abbeel,https://doi.org/10.15607/rss.2024.xx.092,https://doi.org/10.15607/rss.2024.xx.092,40,generalist robot policy manipulation; language conditioned robot manipulation policy,Trajectory; Computer science; Point (geometry); Policy learning; Artificial intelligence; Machine learning; Mathematics; Physics; Geometry; Astronomy,retargeting and teleoperation,80.114,"Learning from demonstration is a powerful method for teaching robots new skills, and having more demonstration data often improves policy learning.However, the high cost of collecting demonstration data is a significant bottleneck.Videos, as a rich data source, contain knowledge of behaviors, physics, and semantics, but","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4402354026
14,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,One-Shot Transfer of Long-Horizon Extrinsic Manipulation Through Contact Retargeting,2024,,Albert Wu; Ruocheng Wang; Sirui Chen; Clemens Eppner; C. Karen Liu,https://doi.org/10.1109/iros58592.2024.10801356,https://doi.org/10.1109/iros58592.2024.10801356,3,robot retargeting manipulation policy,Retargeting; Shot (pellet); Computer science; Computer graphics (images); Computer vision; Transfer (computing); Artificial intelligence; Humancomputer interaction; Materials science; Metallurgy,robot foundation policies,79.786,"Extrinsic manipulation, the use of environment contacts to achieve manipulation objectives, enables strategies that are otherwise impossible with a parallel jaw gripper. However, orchestrating a long-horizon sequence of contact interactions between the robot, object, and environment is notoriously challenging due to the scene diversity, large","Scale robot policies across tasks, datasets, and robot embodiments.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4405785594
15,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,Learning Cross-Domain Correspondence for Control with Dynamics\n Cycle-Consistency,2020,arXiv (Cornell University),Qiang Zhang; Tete Xiao; Alexei A. Efros; Lerrel Pinto; Xiaolong Wang,https://doi.org/10.48550/arxiv.2012.09811,http://arxiv.org/abs/2012.09811,22,robot dynamics transfer across morphologies,Artificial intelligence; Robotics; Domain (mathematical analysis); Computer science; Consistency (knowledge bases); Constraint (computer-aided design); Robot; Variety (cybernetics); Representation (politics); Imitation,cross-embodiment and morphology transfer,79.735,"At the heart of many robotics problems is the challenge of learning\ncorrespondences across domains. For instance, imitation learning requires\nobtaining correspondence between humans and robots; sim-to-real requires\ncorrespondence between physics simulators and the real world; transfer learning\nrequires correspondences between different robotics environments. This paper\naims to learn correspondence","Transfer skills when kinematics, dynamics, or morphology differ.",Simulator variation or adaptation meant to make a learned policy robust on real hardware.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W3121989526
16,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,From One Hand to Multiple Hands: Imitation Learning for Dexterous Manipulation from Single-Camera Teleoperation,2022,arXiv (Cornell University),Yuzhe Qin; Hao Su; Xiaolong Wang,https://doi.org/10.48550/arxiv.2204.12490,http://arxiv.org/abs/2204.12490,1,robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Teleoperation; Imitation; Computer science; Artificial intelligence; Robot; Retargeting; Computer vision; Construct (python library); Kinematics; Humancomputer interaction,retargeting and teleoperation,79.193,"We propose to perform imitation learning for dexterous manipulation with multi-finger robot hand from human demonstrations, and transfer the policy to the real robot hand. We introduce a novel single-camera teleoperation system to collect the 3D demonstrations efficiently with only an iPad and a computer.","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4303940393
17,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,Plan-Guided Reinforcement Learning for Whole-Body Manipulation,2023,arXiv (Cornell University),Mengchao Zhang; Jose Barreiros; Aykut Ozgun Onol,https://doi.org/10.48550/arxiv.2310.12263,http://arxiv.org/abs/2310.12263,2,robot retargeting manipulation policy,Reinforcement learning; Computer science; Lift (data mining); Artificial intelligence; Teleoperation; Process (computing); Task (project management); Plan (archaeology); Robot; Transfer of learning,retargeting and teleoperation,79.049,"Synthesizing complex whole-body manipulation behaviors has fundamental challenges due to the rapidly growing combinatorics inherent to contact interaction planning. While model-based methods have shown promising results in solving long-horizon manipulation tasks, they often work under strict assumptions, such as known model parameters, oracular observation of","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Relevant prior that narrows broad robot-learning novelty.,https://openalex.org/W4387838117
18,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,DexH2R: Task-Oriented Dexterous Manipulation From Human to Robots,2025,IEEE/ASME Transactions on Mechatronics,Shuqi Zhao; X. D. Zhu; Yuxin Chen; Chenran Li; Yichen Xie; Xiang Zhang; Mingyu Ding; Masayoshi Tomizuka,https://doi.org/10.1109/tmech.2025.3641164,https://doi.org/10.1109/tmech.2025.3641164,2,robot retargeting manipulation policy,Robot; Task (project management); Computer science; Artificial intelligence; Action (physics); Humanrobot interaction; Retargeting; Computer vision; Humancomputer interaction; Motion (physics),retargeting and teleoperation,78.949,"Dexterous manipulation remains a challenging problem due to the high-dimensional action space of robot hands. To solve this challenge, recent advances focus on transferring human hand motions to dexterous robot motions. However, the most straightforward method, retargeting, fails to ensure successful task execution due to","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W7117488508
19,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,TACT: Humanoid Whole-Body Contact Manipulation Through Deep Imitation Learning With Tactile Modality,2025,IEEE Robotics and Automation Letters,Masaki Murooka; Takahiro Hoshi; Kensuke Fukumitsu; Shimpei Masuda; Marwan Hamze; Tomoya Sasaki; Mitsuharu Morisawa; Eiichi Yoshida,https://doi.org/10.1109/lra.2025.3580329,https://doi.org/10.1109/lra.2025.3580329,3,robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Tact; Imitation; Modality (humancomputer interaction); Psychology; Communication; Cognitive psychology; Computer science; Humancomputer interaction; Developmental psychology; Social psychology,retargeting and teleoperation,78.236,"Manipulation with whole-body contact by humanoid robots offers distinct advantages, including enhanced stability and reduced load. On the other hand, we need to address challenges such as the increased computational cost of motion generation and the difficulty of measuring broad-area contact. We therefore have developed","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4411336685
20,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,X-Nav: Learning End-to-End Cross-Embodiment Navigation for Mobile Robots,2025,IEEE Robotics and Automation Letters,Haitong Wang; Aaron Hao Tan; Angus Fung; Goldie Nejat,https://doi.org/10.1109/lra.2025.3632119,https://doi.org/10.1109/lra.2025.3632119,1,cross embodiment robot learning,Artificial intelligence; Computer science; Mobile robot; Robot; Reinforcement learning; Computer vision; Robot learning; Robotics; Generalizability theory; Humancomputer interaction,action representation and sequence policies,76.543,"Existing navigation methods are primarily designed for specific robot embodiments, limiting their generalizability across diverse robot platforms. In this paper, we introduce X-Nav, a novel framework for end-to-end cross-embodiment navigation where a single unified policy can be deployed across various embodiments for both wheeled and",Represent robot actions so long-horizon manipulation can be learned robustly.,"Large sequence model conditioned on vision, language, history, and sometimes robot identity.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Action chunks preserve semantics when decoded on another body. Temporal smoothing can compensate for one-step effect mismatch.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of broad robot learning framing; leaves open a precise action-effect rule.,A minimal runnable test of action semantics across robot bodies.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W4416756242
21,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,XIRL: Cross-embodiment Inverse Reinforcement Learning,2021,arXiv (Cornell University),Kevin Zakka; Andy Zeng; Pete Florence; Jonathan Tompson; Jeannette Bohg; Debidatta Dwibedi,https://doi.org/10.48550/arxiv.2106.03911,http://arxiv.org/abs/2106.03911,10,cross embodiment robot learning; cross-embodiment robot policy,Reinforcement learning; Computer science; Task (project management); Artificial intelligence; Embedding; Consistency (knowledge bases); Imitation; Sample (material); Machine learning; Trajectory,cross-embodiment and morphology transfer,76.448,"We investigate the visual cross-embodiment imitation setting, in which agents learn policies from videos of other agents (such as humans) demonstrating the same task, but with stark differences in their embodiments -- shape, actions, end-effector dynamics, etc. In this work, we demonstrate that it is","Transfer skills when kinematics, dynamics, or morphology differ.","Morphology-conditioned dynamics, policy, or representation for transferring behavior across bodies.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. A static morphology descriptor is enough to decode actions. Transfer error is mostly a policy-generalization problem.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode.,Reduces novelty of morphology-aware transfer; leaves open local task-effect normalization rules.,A nonlearned local renormalization rule with a checkable preservation claim.,Closest conceptual threat: explicitly studies body differences.,https://openalex.org/W3167325792
22,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,"RAPID Hand: A Robust, Affordable, Perception-Integrated, Dexterous Manipulation Platform for Generalist Robot Autonomy",2025,ArXiv.org,Zhaoliang Wan; Zhuofei Bi; Zida Zhou; Hao Ren; Yiming Zeng; Yihan Li; Lu Q; Xu Yang; et al.,https://doi.org/10.48550/arxiv.2506.07490,http://arxiv.org/abs/2506.07490,1,generalist robot policy manipulation; robot retargeting manipulation policy; teleoperation retargeting robot manipulation,Teleoperation; Humancomputer interaction; Robot; Grippers; Computer science; Interface (matter); Software; Artificial intelligence; Robotics; Perception,robot foundation policies,75.543,"This paper addresses the scarcity of low-cost but high-dexterity platforms for collecting real-world multi-fingered robot manipulation data towards generalist robot autonomy. To achieve it, we propose the RAPID Hand, a co-optimized hardware and software platform where the compact 20-DoF hand, robust whole-hand perception, and high-DoF","Scale robot policies across tasks, datasets, and robot embodiments.",Denoising or score-based sequence model over robot actions.,The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Robot identity tokens and data scale can absorb action-map mismatch. A shared action tensor can be normalized independently of local controllability.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Dataset robot mix and tokenizer design.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Learned robot token hides action incompatibility.,Reduces novelty of large cross-robot policies; challenges claims that data scale alone solves action transfer.,Whether the same model output has comparable physical meaning on robots with different local controllability.,Closest empirical threat: may claim multi-robot data learns embodiment compensation.,https://openalex.org/W4417129644
23,landscape_1000;serious_skim_300;deep_read_240;hostile_prior_100,Multicontact Motion Retargeting Using Whole-Body Optimization of Full Kinematics and Sequential Force Equilibrium,2022,IEEE/ASME Transactions on Mechatronics,Quentin Rouxel; Kai Yuan; Ruoshi Wen; Zhibin Li,https://doi.org/10.1109/tmech.2022.3152844,https://doi.org/10.1109/tmech.2022.3152844,20,teleoperation retargeting robot manipulation,Kinematics; Retargeting; Robot; Computer science; Humanoid robot; Inverse kinematics; Robot kinematics; Robotics; Artificial intelligence; Tree traversal,retargeting and teleoperation,74.545,"This article presents a multicontact motion adaptation framework that enables teleoperation of high degree-of-freedom robots, such as quadrupeds and humanoids, for loco-manipulation tasks in multicontact settings. Our proposed algorithms optimize whole-body configurations and formulate the retargeting of multicontact motions as sequential quadratic programming, which is","Move demonstrations or commands between human, simulator, and robot bodies.","Kinematic or demonstration retargeting through pose, hand, or end-effector correspondences.",The chosen action interface captures task-relevant effects. Evaluation embodiments share enough workspace and contacts for transfer to be meaningful. Pose or trajectory retargeting also preserves action effects. Human or source-body kinematics are close enough to the target action manifold.,Robot action interface; control rate; actuator limits; task map; contact model; object geometry. Correspondence map between source and target limbs.,Unseen morphology; local singularity; actuator saturation; non-overlapping workspace; wrong contact mode. Retargeted pose matches visually but causes different object motion.,Reduces novelty of source-to-target command mapping; leaves open effect-normalized policy actions rather than pose matching.,How to preserve differential task effects rather than only trajectories or poses.,Closest transfer threat: already maps commands or demonstrations across bodies.,https://openalex.org/W4214863073
